,,T41-EP BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOARD,QTY,REFERENCE,VALUE,NAME ,,,,,,,,,,,,,,,,,,,,,,,,,,
main,?4 ,Bands.... Display1. Encoders. Encoders1 ,,IDC2x5_Male       ,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R17 ,37,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R19 ,5.5K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,4,"R100, R102, R200, R203 ",10K ,Trim Pot,, ,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"R101, R103 ",100,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"R106, R107 ",1.1K ,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"R201, R204 ",56,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,2,"R202, R205 ",240,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R300 ,0.167,6 1ohm parallel , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R303 ,470,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,R306 ,220,RES 1206 , ,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,T1,4T-P 3T Bi-S ,BN43-202 , , ,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,T2,10T Bi,FT50 Toroid,, ,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,T3,4T-P 6T-Bi_S,BN43-202 ,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,T4,10T,2x FT50 Toroid,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,T5,2T-P 3T-S,BN-43-3312,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,U1,,LM7815CT,,,,,,,,,,,,,,,,,,,,,,,,,,
pa,1,U2 ,,LM317T,,,,,,,,,,,,,,,,,,,,,,,,,,
qsd,12,"C1, C2, C3, C4, C6, C8, C10, C104, C202, C212, C302, C303",0.1uF,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
qsd,7,"C5, C7, C9, C305, C307, C310, C311 ",10uF ,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
qsd,4,"C203, C207, C210, C211 ",10nF ,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
qsd,4,"C204, C205, C206, C208 ",1uF ,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
qsd,4,"C304, C306, C308, C309 ",68pF ,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
qsd,2,"J1, J2 ",,SMA COAX_FEMALE,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,J4 ,,"1/8"" Phone Jack ",, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,J5 ,,2x81DC ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,5,"L1, L2, L3, L4, L5 ",Ferrite Bead ,1206,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,2,"Q1, Q2",,2N3904 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,R1 ,390,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,R2 ,5.6K ,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,R3 ,510,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,R4 ,68,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,R5 ,200,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,4,"R201, R202, R206, R207 ",100,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,2,"R203, R208 ",2K ,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,4,"R204, R205, R209, R210 ",10K ,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,8,"R301, R302, R303, R304, R305, R306, R307, R308 ",5.1K ,RES 1206 ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,T1 ,T43-50 Toroid ,Toroid Xformer ,,, ,,,,,,,,,,,,,,,,,,,,,,,
qsd,3,"TP1, TP6, TP7",,TESTPOINT ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,U2 ,,MC33078BYDT ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,U3 ,,MC33078YDT ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,U4 ,,74CBTLV3253PWRE ,, ,,,,,,,,,,,,,,,,,,,,,,,,
qsd,1,U5 ,,74AC74MTC ,,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,14,"C1, C10, C15, C20, C21, C23, C24, C25, C26, C27, C29, C30, C31, C32",0.1uF,CAP 1206,,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,10,"C2, C4, C6, C7, C12, C14, C16, C17, C22, ",10uF ,CAP Thru , ,,,,,,,,,,,,,,,,,,,,,,,,,
exciter,4,"C3, C11, C33, C34 ",100pF ,CAP 1206, ,,,,,,,,,,,,,,,,,,,,,,,,,
